Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz",Projektförderung,2020,"Holzmarktstraße 15-17, 10179 Berlin",Verkehr,"Nord-Süd-Tangente; Linie 26/27, 2.2. Teil-BPU,A",15000
Berolina-Orchester e. V. Berliner Symphoniker,Beauftragte/r für Datenschutz und Informationsfreiheit,Projektförderung,2019,"Wangenheimstraße 37-39, 14193 Berlin",Bildung,Gedenken zu 30 Jahre Mauerfall,8398
Camino Werkstatt für Fortbildung Praxisbegleitung und Forschung gGmbH,Bezirksamt Marzahn-Hellersdorf,Projektförderung,2019,"Mahlower Straße 24, 12049 Berlin",Stadtentwicklung,Lernen Na Logo - Bildungsnetzwerk Hellersdorfer Promenade,28358
Cooperative Mensch eG,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2019,"Kurfürstenstraße 75, 10787 Berlin",Jugend,Kinder- und Jugendambulanz,1905254
Cooperative Mensch eG,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2019,"Kurfürstenstraße 75, 10787 Berlin",Jugend,Therapiebad,53784
Diakoniewerk Simeon gGmbH,Bezirksamt Neukölln,Projektförderung,2017,"Rübelandstraße 9, 12053 Berlin",Integration,Stadtteilmütter in Neukölln,248200
Diakonisches Werk Tempelhof-Schöneberg gGmbH,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2019,"Rübelandstraße 9, 12053 Berlin",Jugend,Ausbau Familienzentrum,125454
GSE gGmbH,"Senatsverwaltung für Bildung, Jugend und Familie",Projektförderung,2018,"Prinzenallee 74, 13357 Berlin",Jugend,Machbarkeitsstudie queeres Jugendzentrum,10000
IB Berlin-Brandenburg gGmbH,Bezirksamt Treptow-Köpenick,Projektförderung,2019,"Rigaer Straße 44, 10247 Berlin",Jugend,Im Dorf der Hoffnung,3473
IB Berlin-Brandenburg gGmbH,Bezirksamt Treptow-Köpenick,Projektförderung,2019,"Rigaer Straße 44, 10247 Berlin",Jugend,Projekttage VIELFÄLTIG FREIWILLIG,655
ImPULS e. V.,Bezirksamt Neukölln,Projektförderung,2016,"Bat-Yam-Platz 1, 12353 Berlin",Bildung,Sprachschulungen für aktive Gropiusstädter,6607
- MTW - Medizintechnische Werkstätten GmbH,"Senatsverwaltung für Wirtschaft, Energie und Betriebe",Projektförderung,2019,"Freystadter Weg 48, 12489 Berlin",Wirtschaft,Elektrofahrzeug,4000
Verein für Berliner Stadtmission,Bezirksamt Spandau,Projektförderung,2018,"Lehrter Straße 68, 10557 Berlin",Integration,Begleitprogramm: Learning by doing,58460
Verein zur Förderung der Kommunikation unter Gropiusstädter Frauen e. V.,Bezirksamt Neukölln,Projektförderung,2016,"Löwensteinring 22, 12353 Berlin",Familie,Kinderbildungscafe,2500
Verein zur Förderung der Kommunikation unter Gropiusstädter Frauen e. V.,Bezirksamt Neukölln,Projektförderung,2016,"Löwensteinring 22, 12353 Berlin",Jugend,Service Learning,15364
id22 - institut für kreative nachhaltigkeit - institute for creative sustainability e. V.,Bezirksamt Friedrichshain-Kreuzberg,Projektförderung,2019,"Wilhelmine-Gemberg-Weg 12, 10179 Berlin",Stadtentwicklung,"Bildungs- und Öffentlichkeitsarbeit gemeinwohlorientierte Stadtentwicklung
gemeinwohlorientierte
Bildungs- und Öffentlichkeitsarbeit
gemeinwohlorientierte
Stadtentwicklung",40000
ABC Zentrum Berlin e. V.,Bezirksamt Mitte,Projektförderung,2016,"Luise-Zietz-Straße 43, 12683 Berlin",Stadtentwicklung,"Sachmittel für freiwilliges Engagement in
Nachbarschaften",1750
