Politikbereich,Zweck
Verkehr,nord süd tangente linie bpu
Bildung,gedenken mauerfall
Stadtentwicklung,lernen logo bildungsnetzwerk hellersdorfer promenade
Jugend,kind jugendambulanz
Jugend,therapiebad
Integration,stadtteilmütter neukölln
Jugend,ausbau familienzentrum
Jugend,machbarkeitsstudie queeres jugendzentrum
Jugend,dorf hoffnung
Jugend,projekttage vielfältig freiwillig
Bildung,sprachschulungen aktive gropiusstädter
Wirtschaft,elektrofahrzeug
Integration,begleitprogramm learning by doing
Familie,kinderbildungscafe
Jugend,service learning
Stadtentwicklung,bildungs öffentlichkeitsarbeit gemeinwohlorientierte stadtentwicklung gemeinwohlorientierte bildungs öffentlichkeitsarbeit gemeinwohlorientierte stadtentwicklung
Stadtentwicklung,sachmittel freiwillig engagement nachbarschaften
Jugend,erziehungs familienberatungsstellen
Integration,fit schule projekt förderung sprachentwicklung vorschulkindern fein
Bildung,beschaffung lernmittel gemäß absatz schulg freier schule ann sophie grundschule
Kultur,subculture berlin
Jugend,kontakt beratungsstelle sleepin kub
Arbeit,landeszuschuss kmu lohnkostenzuschuss futterhaus berlin gmbh kompanie kg
Jugend,kita gesetz ausgestaltung pädagogisch raum barrierefreiheit gesundheitsförderung
Arbeit,landeszuschuss kmu lohnkostenzuschuss girasoles sonnenblumen eingetragen verein
Arbeit,lohnkostenzuschuss girasoles sonnenblumen eingetragen verein
Jugend,filmreihe diskussion
Kultur,ausstellung kunst treffen industrie industrie treffen kunst industriesalon
Wirtschaft,personal sachkosten öffentlichkeitsarbeit rahmen entwicklung highlights industriekultur schöneweide
Kultur,ausstellung schöner strom einzug elektrizität historische puppenstuben
Denkmalschutz,tour arbeit
Kultur,digitalisierung online präsentation technische fotoarchivs ehemalig werk fernsehelektronik berlin oberschöneweide
Arbeit,fav hilfskraft bereich unterstützung hausmeistertätigkeit handwerklich hilfsarbeiten
Arbeit,fav technisch mitarbeit bürohilfe
Arbeit,hilfskraft bereich unterstützung hausmeistertätigkeit handwerklich hilfsarbeiten
Arbeit,integrationsassistenten migrantengruppen
Arbeit,technisch mitarbeit bürohilfe
Arbeit,unterstützung ehrenamtlich arbeit kultschule
Wirtschaft,ladeinfrastruktur
Soziales,kältehilfe
Soziales,kältehilfe
Soziales,notübernachtung
Soziales,notübernachtung kältehilfe
Gesundheit,apg projektnr apg mh projekt janz nah draussen
Jugend,baul maßnahme schaffung platz kitaausbauprogramm
Gleichstellung,öffentlichkeitsarbeit beschaffung
Verkehr,radfahrtrainings geflüchtete frau
Wirtschaft,errichtung betriebsstätte
Wissenschaft,sonstige zuschuß konsumtive zweck inland kompensation miete umbau infrastrukturflächen
